reaction	jaccardindex	KolmogorovSmirnow	KolmogorovSmirenow_pvalue	T - test_pvalue	Anova_pvalue	Wilcoxon_Mann_Whitney_pvalue	Mean	Std	Mode	Median	skew	kurt	Ttest_H	Ttest_pvalue	minFlux_brainmetastasis	minFlux_breastcancer	maxFlux_brainmetastasis	maxFlux_breastcancer	perc_brainmet/breastcancer	perc_breastcancer/brainmet
Aminoacyl-tRNA biosynthesis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_5130	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	5.3412__5.9553	1.5583__1.9627	11.6538__0	5.2601__5.8917	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	4.3791	4.8895	6.1972	6.9253	0.8928	1.1201
HMR_5131	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	15.2253__16.9758	4.4419__5.5948	33.2194__0	14.9941__16.7946	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	12.4828	13.9378	17.6653	19.7409	0.8928	1.1201
HMR_5132	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	9.73205__10.851	2.8392__3.5762	21.2339__0	9.58426__10.7351	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	7.979	8.9091	11.2917	12.6184	0.8928	1.1201
HMR_5133	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	7.128__7.9475	2.0795__2.6193	-1.2525e-11__0	7.0197__7.8626	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	5.844	6.5252	8.2703	9.242	0.8928	1.1201
HMR_5134	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	10.5684__11.7835	3.0832__3.8836	-1.8571e-11__0	10.4079__11.6577	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	8.6647	9.6747	12.2621	13.7028	0.8928	1.1201
HMR_5135	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	3.4784__3.8784	1.0148__1.2782	7.5895__0	3.4256__3.837	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	2.8519	3.1843	4.0359	4.5101	0.8928	1.1201
HMR_5136	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	8.1354__9.0707	2.3734__2.9895	17.7502__0	8.0118__8.9739	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	6.67	7.4474	9.4392	10.5482	0.8928	1.1201
HMR_5137	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	14.8832__16.5943	4.342__5.4691	32.4729__0	14.6572__16.4172	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	12.2023	13.6246	17.2684	19.2973	0.8928	1.1201
HMR_5138	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	13.7047__15.2804	3.9982__5.0361	29.9016__0	13.4966__15.1172	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	11.2361	12.5458	15.901	17.7693	0.8928	1.1201
HMR_5139	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	4.3338__4.8321	1.2643__1.5925	-7.6153e-12__0	4.268__4.7805	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	3.5532	3.9673	5.0283	5.6191	0.8928	1.1201
HMR_5140	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	8.4015__9.3674	2.4511__3.0873	18.3308__0	8.2739__9.2674	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	6.8881	7.691	9.7479	10.8932	0.8928	1.1201
HMR_5141	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	17.3162__19.3071	5.0518__6.3632	37.7814__0	17.0532__19.101	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	14.197	15.8518	20.0913	22.4519	0.8928	1.1201
HMR_5142	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	13.6667__15.238	3.9871__5.0221	-2.4015e-11__0	13.4591__15.0753	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	11.2049	12.511	15.8569	17.72	0.8928	1.1201
HMR_5143	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	4.2198__4.7049	1.2311__1.5506	9.2069__0	4.1557__4.6547	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	3.4597	3.8629	4.896	5.4713	0.8928	1.1201
HMR_5145	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	6.9949__7.7991	2.0407__2.5704	15.2619__0	6.8887__7.7159	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	5.7349	6.4034	8.1159	9.0695	0.8928	1.1201
HMR_5146	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	9.69404__10.8086	2.8281__3.5623	21.1509__0	9.54682__10.6932	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	7.9478	8.8742	11.2476	12.5691	0.8928	1.1201
HMR_5147	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	12.5642__14.0088	3.6655__4.617	27.4133__0	12.3734__13.8592	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	10.301	11.5017	14.5778	16.2906	0.8928	1.1201
HMR_5148	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	10.1692__11.3384	2.9668__3.7369	-1.7869e-11__0	10.0148__11.2174	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	8.3374	9.3093	11.7989	13.1852	0.8928	1.1201
HMR_5149	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	1.8628__2.0769	0.54345__0.68451	4.0643__0	1.8345__2.0548	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	1.5272	1.7052	2.1613	2.4152	0.8928	1.1201
HMR_5150	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	12.6783__14.1359	3.6988__4.6589	27.6621__0	12.4857__13.985	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	10.3945	11.6061	14.7101	16.4384	0.8928	1.1201
Arginine and proline metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_3956	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6059e-177	28.4171__31.6843	8.29043__10.4424	-4.9934e-11__-1.541e-12	27.9856__31.346	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	23.2983	26.014	32.9712	36.8451	0.8928	1.1201
HMR_4190	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_8425	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
Artificial reactions	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_10062	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	190.0791__211.9329	55.4538__69.8482	414.7244__0	187.1926__209.6703	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	155.8402	174.0049	220.5411	246.4532	0.8928	1.1201
HMR_10063	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	7.8774__8.7831	2.2982__2.8947	17.1873__0	7.7578__8.6893	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	6.4584	7.2112	9.1398	10.2137	0.8928	1.1201
HMR_10064	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6022e-177	17.2184__19.198	5.0233__6.3272	37.568__0	16.9569__18.9931	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	14.1169	15.7623	19.9778	22.3251	0.8928	1.1201
HMR_10065	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	0.042734__0.047648	0.012467__0.015704	0.09324__0	0.042085__0.047139	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.035037	0.039121	0.049583	0.055409	0.8928	1.1201
biomass_human	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	35.612__39.7064	10.3895__13.0863	77.7001__0	35.0712__39.2825	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	29.1972	32.6004	41.3192	46.1739	0.8928	1.1201
Bile acid biosynthesis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_1832	0.84954	0.0436	0.14496	8.6305e-07	5.8797e-07	8.5065e-10	-338.9321__-326.503	174.3213__177.4436	0__-500	-327.6228__-308.7233	-0.25292__-0.56058	2.3771__3.1954	1	8.6305e-07	-467.4483	-431.3908	-199.9592	-195.0296	1.0612	0.94231
HMR_1834	0.84954	-0.0434	0.14496	8.6305e-07	5.8797e-07	8.5081e-10	338.9321__326.503	174.3213__177.4436	0__-3.3739e-13	327.6228__308.7233	0.25292__0.56058	2.3771__3.1954	1	8.6305e-07	199.9592	195.0296	467.4483	431.3908	1.0612	0.94231
HMR_1835	0.84954	-0.0436	0.14496	8.6305e-07	5.8797e-07	8.5072e-10	338.9321__326.503	174.3213__177.4436	0__500	327.6228__308.7233	0.25292__0.56058	2.3771__3.1954	1	8.6305e-07	199.9592	195.0296	467.4483	431.3908	1.0612	0.94231
HMR_1841	0.41842	0.3294	0.14496	0	0	2.0899e-320	183.0641__307.5598	209.2587__217.4084	0__3.3739e-13	183.905__305.413	-0.025272__0.059654	3.0065__2.6536	1	0	46.3079	147.8671	321.0688	460.2519	0.60215	1.6607
HMR_1844	0.91072	0.0496	0.14496	0.00027783	0.00027614	4.1211e-06	90.723__94.9555	81.9523__82.6086	0__0	67.7513__73.6129	1.5628__1.5766	6.4678__7.3425	1	0.00027783	28.9478	31.8019	130.1813	136.9717	0.92037	1.0865
Biotin metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_7663	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	0.0014743__0.0016438	0.00043012__0.00054177	0.0032168__0	0.0014519__0.0016263	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.0012088	0.0013497	0.0017106	0.0019116	0.8928	1.1201
Carnitine shuttle (cytosolic)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0159	0.51071	-0.2528	0.14496	6.4923e-192	7.5246e-188	1.4266e-193	-252.3007__-342.9128	190.7482__240.1188	-999.3146__-1000	-250.4081__-346.4417	-0.11831__0.29618	2.739__4.1228	1	6.4923e-192	-387.0297	-511.4103	-108.7088	-181.3677	0.7228	1.3835
HMR_2591	0.63212	-0.17	0.14496	2.9047e-80	8.0308e-78	1.6104e-88	0.77343__0.71035	0.24149__0.23411	-4.8977e-12__-2.2466e-13	0.7561__0.70276	1.7146__2.3303	17.6412__22.5881	1	2.9047e-80	0.62273	0.58322	0.90486	0.82605	1.0759	0.92946
HMR_2594	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.008846__-0.0098631	0.0025807__0.0032506	-0.019301__0	-0.0087117__-0.0097578	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.010264	-0.01147	-0.0072526	-0.008098	0.8928	1.1201
HMR_2626	1.0	-0.3922	0.1477	0	0	0	1.4901e-13__6.9787e-14	1.4798e-13__5.9269e-14	0__0	1.4226e-13__6.798e-14	0.31734__0.1697	3.661__3.1203	1	0	4.6728e-14	3.1461e-14	2.4065e-13	1.0503e-13	2.0927	0.47784
HMR_2633	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_2636	1.0	0.9245	0.14522	0	0	0	-5.3206e-15__2.4886e-15	3.6175e-15__2.7528e-15	-1.1952e-15__0	-5.4889e-15__2.2814e-15	0.56669__0.14651	3.3616__3.2484	1	0	-7.9218e-15	5.6155e-16	-3.2762e-15	4.2855e-15	-2.4059	-0.41564
HMR_2742	1.0	0.5078	0.14719	0	0	0	-5.6979e-14__1.2624e-13	6.0133e-14__2.6691e-13	0__0	-5.5399e-14__1.0084e-13	-0.045392__0.47639	2.9175__5.649	1	0	-9.8807e-14	-3.7205e-14	-1.6284e-14	2.6405e-13	-0.5494	-1.8202
Carnitine shuttle (mitochondrial)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0161	0.51357	0.241	0.14496	1.2011e-133	1.13e-130	3.6016e-177	0.31413__0.35024	0.091644__0.11543	0.68538__0	0.30936__0.3465	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.25754	0.28756	0.36447	0.40729	0.8928	1.1201
HMR_2593	0.63212	0.17	0.14496	2.9047e-80	8.0308e-78	1.6104e-88	-0.77343__-0.71035	0.24149__0.23411	-3.9061__-2.9293	-0.7561__-0.70276	-1.7146__-2.3303	17.6412__22.5881	1	2.9047e-80	-0.90486	-0.82605	-0.62273	-0.58322	1.0759	0.92946
HMR_2646	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_2716	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
Cysteine and methionine metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
r0193	0.53477	0.2534	0.14496	2.9169e-181	2.3004e-186	1.0252e-190	-282.6262__-210.8638	164.5708__179.9644	-1000__-500	-280.1659__-202.608	-0.17542__-0.33349	3.2045__3.7256	1	2.9169e-181	-386.5278	-328.709	-168.6614	-87.2444	1.3828	0.72317
Exchange/demand reactions	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_9809	0.51097	0.253	0.14496	1.6652e-191	1.976e-187	3.5213e-193	252.7512__343.263	190.7576__240.1299	-472.8382__1000	250.8395__346.8695	0.11864__-0.29631	2.7399__4.1238	1	1.6652e-191	109.1053	181.7359	387.4848	511.7718	0.72315	1.3828
HMR_9811	0.76451	-0.1016	0.14513	2.1072e-31	5.0402e-32	7.0624e-29	246.4854__197.7356	297.1505__287.0669	500__500	239.6094__199.8405	-0.098017__-0.13825	2.6402__2.9575	1	2.1072e-31	41.8359	6.8143	469.9505	395.9089	1.199	0.83403
HMR_9815	0.0	-0.3357	0.14505	0	0	0	0__-112.3469	0__248.7009	0__-906.31	0__-109.1618	none	none	1	0	0.0	-286.4041	0.0	57.826	0	-Inf
HMR_9034	0.83259	-0.07	0.14496	2.9222e-10	1.1608e-09	8.1098e-17	-227.0182__-237.902	130.5834__122.0782	0__-914.0355	-214.2968__-232.6621	-0.58439__-0.42316	3.4875__4.0698	1	2.9222e-10	-309.3467	-318.2355	-131.1712	-153.5993	0.92106	1.0857
HMR_9038	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-4.3751__-4.8781	1.2764__1.6077	-19.0136__0	-4.3087__-4.8261	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-5.0763	-5.6727	-3.587	-4.0051	0.8928	1.1201
HMR_9039	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-8.5771__-9.5633	2.5023__3.1518	-18.714__0	-8.4469__-9.4612	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-9.9517	-11.1209	-7.0321	-7.8518	0.8928	1.1201
HMR_9042	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-4.2835__-4.7759	1.2497__1.574	-18.6153__0	-4.2184__-4.725	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-4.9699	-5.5539	-3.5119	-3.9212	0.8928	1.1201
HMR_9043	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-7.2549__-8.089	2.1166__2.666	-15.8291__0	-7.1447__-8.0027	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-8.4176	-9.4066	-5.9481	-6.6414	0.8928	1.1201
HMR_9044	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.5971e-177	-10.8373__-12.0833	3.1617__3.9824	-23.6454__0	-10.6727__-11.9543	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-12.5741	-14.0515	-8.8852	-9.9208	0.8928	1.1201
HMR_9045	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-1.88__-2.0961	0.54847__0.69084	-4.1019__0	-1.8514__-2.0738	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-2.1813	-2.4376	-1.5414	-1.721	0.8928	1.1201
HMR_9046	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-12.8298__-14.3049	3.743__4.7146	-27.9927__0	-12.635__-14.1521	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-14.8859	-16.6349	-10.5188	-11.7448	0.8928	1.1201
HMR_9048	0.50335	-0.2765	0.14522	7.0011e-246	6.7292e-228	6.0924e-210	-306.2541__-408.4813	229.3548__213.0903	-1000__-1000	-310.5281__-410.485	0.11671__0.23334	2.8722__3.6802	1	7.0011e-246	-467.7491	-559.7498	-147.9145	-260.4533	0.75649	1.3219
HMR_9051	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-5.9795e-05__-6.667e-05	1.7445e-05__2.1973e-05	-0.00013046__0	-5.8887e-05__-6.5958e-05	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-6.9378e-05	-7.7529e-05	-4.9024e-05	-5.4739e-05	0.8928	1.1201
HMR_9055	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	5.9795e-05__6.667e-05	1.7445e-05__2.1973e-05	0.00013046__0	5.8887e-05__6.5958e-05	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	4.9024e-05	5.4739e-05	6.9378e-05	7.7529e-05	0.8928	1.1201
HMR_9062	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-7.1486__-7.9705	2.0855__2.6269	-31.0668__0	-7.0401__-7.8854	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-8.2943	-9.2688	-5.8609	-6.5441	0.8928	1.1201
HMR_9063	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-10.7491__-11.985	3.136__3.95	-23.453__0	-10.5859__-11.857	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-12.4718	-13.9371	-8.8129	-9.8401	0.8928	1.1201
HMR_9064	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-5.4342__-6.059	1.5854__1.9969	-11.8566__0	-5.3517__-5.9943	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-6.3051	-7.0459	-4.4553	-4.9747	0.8928	1.1201
HMR_9067	0.87102	0.0627	0.14505	4.8046e-08	2.7989e-08	1.0466e-11	-273.7947__-260.0746	172.8969__176.3285	-868.2441__0	-255.5821__-228.6992	-0.40093__-0.79794	2.4105__3.5343	1	4.8046e-08	-395.1467	-369.7142	-135.5516	-126.3094	1.1175	0.89482
HMR_9068	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-9.81629__-10.9449	2.8638__3.6072	-21.4177__0	-9.66722__-10.828	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-11.3894	-12.7276	-8.0481	-8.9862	0.8928	1.1201
HMR_9069	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-13.0498__-14.5501	3.8072__4.7954	-56.7124__0	-12.8516__-14.3948	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-15.1411	-16.9201	-10.6991	-11.9462	0.8928	1.1201
HMR_9072	0.89377	-0.0524	0.14496	3.4057e-06	5.3417e-06	4.4048e-07	590.6277__576.4025	220.6165__221.3167	1000__1000	619.0694__596.5278	-0.62577__-0.47382	3.0346__2.752	1	3.4057e-06	460.0247	428.6916	754.5978	751.3088	1.0378	0.96359
HMR_9074	1.0	0.9044	0.14616	0	0	0	9.6084e-10__1.2407e-08	4.9632e-10__8.3369e-09	0__0	9.6343e-10__1.1618e-08	-0.097392__0.70031	3.4261__3.8989	1	0	6.631e-10	6.4758e-09	1.25e-09	1.7115e-08	0.082923	12.0593
HMR_9078	0.51357	0.241	0.14496	1.2011e-133	1.13e-130	3.6028e-177	28.4171__31.6843	8.29043__10.4424	-4.9443e-11__-2.3867e-12	27.9856__31.346	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	23.2983	26.014	32.9712	36.8451	0.8928	1.1201
HMR_9085	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6019e-177	0.0014743__0.0016438	0.00043012__0.00054177	0.0032168__0	0.0014519__0.0016263	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.0012088	0.0013497	0.0017106	0.0019116	0.8928	1.1201
HMR_9103	0.53477	0.2534	0.14496	2.9169e-181	2.3004e-186	1.0251e-190	-282.6262__-210.8638	164.5708__179.9644	-1000__-500	-280.1659__-202.608	-0.17542__-0.33349	3.2045__3.7256	1	2.9169e-181	-386.5278	-328.709	-168.6614	-87.2444	1.3828	0.72317
HMR_9107	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9108	0.62141	0.1662	0.14496	4.3087e-93	6.7051e-95	1.2814e-110	-173.6376__-137.1557	124.5025__123.7885	-500__-997.5656	-172.3137__-128.1642	-0.2654__-1.0913	3.6465__8.3608	1	4.3087e-93	-256.5307	-212.912	-85.4086	-51.3465	1.3445	0.74378
HMR_9110	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9133	0.74173	-0.1106	0.14496	1.5709e-51	2.295e-52	1.9776e-48	393.2975__345.096	212.7391__233.1278	1000__500	400.3027__343.9586	-0.064289__-0.086595	2.6764__2.7943	1	1.5709e-51	243.866	190.2783	544.108	506.3132	1.1638	0.85925
HMR_9135	0.88319	-0.0648	0.14496	1.1954e-07	1.7541e-07	3.832e-09	256.2176__244.8504	154.7309__152.8995	0.00067951__0	247.411__226.3389	0.47993__0.66243	2.8643__3.119	1	1.1954e-07	130.6645	126.7121	362.1233	338.5773	1.0931	0.91483
HMR_9141	0.68126	-0.1543	0.14539	1.2917e-83	2.0245e-80	4.4409e-74	-249.123__-300.6103	180.0418__201.0602	-500__-500	-218.3006__-269.6951	-0.82743__-0.7631	3.3232__3.2912	1	1.2917e-83	-361.697	-423.4684	-103.2348	-143.5338	0.80943	1.2354
HMR_9147	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0051495__-0.0057415	0.0015023__0.0018923	-0.011235__0	-0.0050713__-0.0056802	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0059748	-0.0066767	-0.0042219	-0.004714	0.8928	1.1201
HMR_9152	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9154	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9155	0.95862	-0.0236	0.14513	2.702e-09	2.5042e-09	0.025245	-172.5578__-184.8519	133.939__156.6994	0__0	-141.1318__-145.2842	-1.0205__-1.3754	4.2092__5.3536	1	2.702e-09	-256.35	-264.0544	-65.2582	-65.7804	0.97142	1.0294
