reaction	jaccardindex	KolmogorovSmirnow	KolmogorovSmirenow_pvalue	T - test_pvalue	Anova_pvalue	Wilcoxon_Mann_Whitney_pvalue	Mean	Std	Mode	Median	skew	kurt	Ttest_H	Ttest_pvalue	minFlux_lungmetastasis	minFlux_breastcancer	maxFlux_lungmetastasis	maxFlux_breastcancer	perc_brainmet/breastcancer	perc_breastcancer/brainmet
HMR_4300	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.95774__0.9983	0.30381__0.32902	-1.7494e-11__0	0.94328__0.98764	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.77725	0.81964	1.1256	1.1609	0.95508	0.95508
HMR_4628	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.95774__0.9983	0.30381__0.32902	-1.7494e-11__0	0.94328__0.98764	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.77725	0.81964	1.1256	1.1609	0.95508	0.95508
HMR_4631	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.95774__0.9983	0.30381__0.32902	-1.7494e-11__0	0.94328__0.98764	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.77725	0.81964	1.1256	1.1609	0.95508	0.95508
Aminoacyl-tRNA biosynthesis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_5130	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	5.7134__5.9553	1.8124__1.9627	-1.0436e-10__0	5.6271__5.8917	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	4.6367	4.8895	6.7149	6.9253	0.95508	0.95508
HMR_5131	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	16.2862__16.9758	5.1662__5.5948	35.9232__0	16.0402__16.7946	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	13.217	13.9378	19.1409	19.7409	0.95508	0.95508
HMR_5132	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	10.4102__10.851	3.3022__3.5762	-1.9015e-10__0	10.2529__10.7351	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	8.4483	8.9091	12.2349	12.6184	0.95508	0.95508
HMR_5133	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	7.6246__7.9475	2.4186__2.6193	-1.3927e-10__0	7.5094__7.8626	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	6.1877	6.5252	8.9611	9.242	0.95508	0.95508
HMR_5134	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	11.3048__11.7835	3.586__3.8836	-2.0649e-10__0	11.134__11.6577	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	9.1744	9.6747	13.2863	13.7028	0.95508	0.95508
HMR_5135	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	3.7208__3.8784	1.1803__1.2782	8.2072__0	3.6646__3.837	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	3.0196	3.1843	4.373	4.5101	0.95508	0.95508
HMR_5136	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	8.7022__9.0707	2.7605__2.9895	-1.5895e-10__0	8.5708__8.9739	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	7.0623	7.4474	10.2276	10.5482	0.95508	0.95508
HMR_5137	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	15.9202__16.5943	5.0501__5.4691	-2.908e-10__0	15.6797__16.4172	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	12.92	13.6246	18.7108	19.2973	0.95508	0.95508
HMR_5138	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	14.6596__15.2804	4.6502__5.0361	-2.6777e-10__0	14.4382__15.1172	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	11.897	12.5458	17.2292	17.7693	0.95508	0.95508
HMR_5139	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	4.6358__4.8321	1.4705__1.5925	10.2253__0	4.5657__4.7805	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	3.7621	3.9673	5.4484	5.6191	0.95508	0.95508
HMR_5140	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	8.9869__9.3674	2.8508__3.0873	-1.6415e-10__0	8.8511__9.2674	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	7.2933	7.691	10.5622	10.8932	0.95508	0.95508
HMR_5141	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	18.5228__19.3071	5.8757__6.3632	-3.3834e-10__0	18.2429__19.101	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	15.0321	15.8518	21.7695	22.4519	0.95508	0.95508
HMR_5142	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	14.619__15.238	4.6373__5.0221	-2.6703e-10__0	14.3981__15.0753	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	11.864	12.511	17.1814	17.72	0.95508	0.95508
HMR_5143	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	4.5138__4.7049	1.4318__1.5506	-8.2448e-11__0	4.4456__4.6547	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	3.6631	3.8629	5.305	5.4713	0.95508	0.95508
HMR_5145	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	7.4823__7.7991	2.3735__2.5704	-1.3667e-10__0	7.3693__7.7159	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	6.0722	6.4034	8.7938	9.0695	0.95508	0.95508
HMR_5146	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	10.3695__10.8086	3.2893__3.5623	-1.8941e-10__0	10.2128__10.6932	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	8.4153	8.8742	12.1871	12.5691	0.95508	0.95508
HMR_5147	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	13.4397__14.0088	4.2632__4.617	29.6445__0	13.2366__13.8592	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	10.9069	11.5017	15.7955	16.2906	0.95508	0.95508
HMR_5148	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	10.8778__11.3384	3.4506__3.7369	-1.9869e-10__0	10.7135__11.2174	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	8.8278	9.3093	12.7845	13.1852	0.95508	0.95508
HMR_5149	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	1.9926__2.0769	0.63207__0.68451	4.3951__0	1.9625__2.0548	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	1.6171	1.7052	2.3418	2.4152	0.95508	0.95508
HMR_5150	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	13.5617__14.1359	4.3019__4.6589	-2.4772e-10__0	13.3568__13.985	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	11.0059	11.6061	15.9388	16.4384	0.95508	0.95508
Arginine and proline metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_3956	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8803e-28	30.3972__31.6843	9.64237__10.4424	-3.1043e-13__-1.541e-12	29.9379__31.346	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	24.6687	26.014	35.7253	36.8451	0.95508	0.95508
HMR_4190	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_8425	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
Artificial reactions	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_10062	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	203.3235__211.9329	64.4968__69.8482	-3.7139e-09__0	200.2518__209.6703	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	165.0064	174.0049	238.963	246.4532	0.95508	0.95508
HMR_10063	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	8.4263__8.7831	2.6729__2.8947	-1.5391e-10__0	8.299__8.6893	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	6.8383	7.2112	9.9033	10.2137	0.95508	0.95508
HMR_10064	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	18.4182__19.198	5.8425__6.3272	-3.3642e-10__0	18.1399__18.9931	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	14.9472	15.7623	21.6466	22.3251	0.95508	0.95508
HMR_10065	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.045712__0.047648	0.0145__0.015704	-8.3497e-13__0	0.045021__0.047139	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.037097	0.039121	0.053725	0.055409	0.95508	0.95508
biomass_human	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	38.0934__39.7064	12.0837__13.0863	84.0243__0	37.5179__39.2825	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	30.9146	32.6004	44.7706	46.1739	0.95508	0.95508
Bile acid biosynthesis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_1832	0.82314	-0.071	0.14496	4.0523e-40	2.7673e-40	1.17e-21	-296.2406__-326.503	141.9888__177.4436	0__-500	-290.2918__-308.7233	-0.31335__-0.56058	2.9029__3.1954	1	4.0523e-40	-389.79	-431.3908	-195.2306	-195.0296	0.9403	0.9403
HMR_1834	0.82314	0.071	0.14496	4.0523e-40	2.7673e-40	1.1694e-21	296.2406__326.503	141.9888__177.4436	0__-3.3739e-13	290.2918__308.7233	0.31335__0.56058	2.9029__3.1954	1	4.0523e-40	195.2306	195.0296	389.79	431.3908	0.9403	0.9403
HMR_1835	0.82314	0.071	0.14496	4.0523e-40	2.7673e-40	1.1701e-21	296.2406__326.503	141.9888__177.4436	0__500	290.2918__308.7233	0.31335__0.56058	2.9029__3.1954	1	4.0523e-40	195.2306	195.0296	389.79	431.3908	0.9403	0.9403
HMR_1841	0.86704	0.0927	0.14505	8.5835e-20	3.0461e-20	3.2994e-15	280.7817__307.5598	192.2347__217.4084	0__3.3739e-13	285.8851__305.413	-0.10598__0.059654	2.6478__2.6536	1	8.5835e-20	144.0973	147.8671	421.9846	460.2519	0.93606	0.93606
HMR_1844	0.78	-0.1168	0.14513	1.468e-32	1.1945e-30	5.1326e-25	109.6228__94.95551	96.7702__82.6086	0__0	85.7558__73.6129	2.099__1.5766	12.5782__7.34252	1	1.468e-32	37.8595	31.8019	158.8687	136.9717	1.165	1.165
Biotin metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_7663	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.0015771__0.0016438	0.00050027__0.00054177	-2.8807e-14__0	0.0015532__0.0016263	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.0012799	0.0013497	0.0018535	0.0019116	0.95508	0.95508
Carnitine shuttle (cytosolic)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0159	0.70185	-0.1362	0.14496	9.4987e-50	3.6278e-47	8.0011e-56	-297.2242__-342.9128	205.2934__240.1188	-999.2588__-1000	-293.5104__-346.4417	-0.21772__0.29618	3.0533__4.1228	1	9.4987e-50	-437.2002	-511.4103	-146.8993	-181.3677	0.84721	0.84721
HMR_2591	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8788e-28	0.68149__0.71035	0.21618__0.23411	1.5032__-2.2466e-13	0.6712__0.70276	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.55306	0.58322	0.80095	0.82605	0.95508	0.95508
HMR_2594	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0094624__-0.0098631	0.0030016__0.0032506	-0.020872__0	-0.0093194__-0.0097578	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.011121	-0.01147	-0.0076792	-0.008098	0.95508	0.95508
HMR_2626	1.0	0.7488	0.14958	0	0	0	-3.5917e-12__6.9787e-14	3.5707e-12__5.9269e-14	0__0	-3.1895e-12__6.798e-14	-0.43923__0.1697	3.4683__3.1203	1	0	-5.9279e-12	3.1461e-14	-1.1709e-12	1.0503e-13	-46.9179	-46.9179
HMR_2633	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_2636	1.0	0.5162	0.14548	0	0	0	-6.8403e-16__2.4886e-15	4.1738e-15__2.7528e-15	-2.3904e-15__0	-4.2022e-16__2.2814e-15	-0.052314__0.14651	3.3944__3.2484	1	0	-3.3467e-15	5.6155e-16	1.8712e-15	4.2855e-15	-0.18419	-0.18419
HMR_2742	1.0	0.723	0.14975	0	0	0	-2.7841e-12__1.2624e-13	3.0356e-12__2.6691e-13	0__0	-2.3343e-12__1.0084e-13	-0.43562__0.47639	3.4485__5.649	1	0	-4.7563e-12	-3.7205e-14	-7.8011e-13	2.6405e-13	-23.1499	-23.1499
Carnitine shuttle (mitochondrial)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0161	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8839e-28	0.33601__0.35024	0.10659__0.11543	0.74116__0	0.33094__0.3465	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.27269	0.28756	0.39491	0.40729	0.95508	0.95508
HMR_2593	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8788e-28	-0.68149__-0.71035	0.21618__0.23411	-1.5032__-2.9293	-0.6712__-0.70276	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.80095	-0.82605	-0.55306	-0.58322	0.95508	0.95508
HMR_2646	1.0	0.0536	0.15129	0.15687	0.15685	2.081e-12	6.0485e-13__0	4.2722e-11__0	0__0	-1.5673e-12__0	none	none	0	0.15687	-2.5624e-11	0.0	2.3481e-11	0.0	-Inf	-Inf
HMR_2716	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
Cysteine and methionine metabolism	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_3877	0.67281	0.1841	0.14505	2.783e-104	2.9152e-101	1.4113e-93	341.8774__407.453	207.0958__224.1793	500__0	328.2896__408.9502	0.35181__0.17244	2.4119__2.3175	1	2.783e-104	172.561	230.116	494.3782	565.3349	0.80276	0.80276
HMR_3920	0.67281	-0.1841	0.14505	2.783e-104	2.9152e-101	1.4068e-93	-341.8774__-407.453	207.0958__224.1793	-500__-500	-328.2896__-408.9502	-0.35181__-0.17244	2.4119__2.3175	1	2.783e-104	-494.3782	-565.3349	-172.561	-230.116	0.80276	0.80276
r0193	0.30844	0.376	0.14496	0	0	0	-330.2223__-210.8638	161.2066__179.9644	-1000__-500	-330.2512__-202.608	-0.083392__-0.33349	3.2815__3.7256	1	0	-439.2632	-328.709	-220.1336	-87.2444	1.63	1.63
Exchange/demand reactions	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_9809	0.7016	0.135	0.14496	9.019e-50	3.4461e-47	7.6066e-56	297.5602__343.263	205.3117__240.1299	1000__1000	293.8482__346.8695	0.2181__-0.29631	3.0547__4.1238	1	9.019e-50	147.1886	181.7359	437.5277	511.7718	0.84714	0.84714
HMR_9811	0.57257	-0.2109	0.14522	8.2759e-146	3.3789e-152	4.0688e-137	300.6777__197.7356	261.5549__287.0669	500__500	299.966__199.8405	-0.0712__-0.13825	2.6585__2.9575	1	8.2759e-146	117.7722	6.8143	492.58	395.9089	1.501	1.501
HMR_9815	0.0	-0.3357	0.14505	0	0	0	0__-112.3469	0__248.7009	0__-906.31	0__-109.1618	none	none	1	0	0.0	-286.4041	0.0	57.826	0	0
HMR_9034	0.95611	-0.0346	0.14496	0.99653	0.99653	0.42231	-237.9097__-237.902	129.7997__122.0782	-947.8305__-914.0355	-230.5307__-232.6621	-0.39966__-0.42316	3.5658__4.0698	0	0.99653	-319.7475	-318.2355	-147.5532	-153.5993	0.99084	0.99084
HMR_9038	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-4.68__-4.8781	1.4845__1.6077	-20.6457__0	-4.6093__-4.8261	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-5.5003	-5.6727	-3.798	-4.0051	0.95508	0.95508
HMR_9039	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-9.1748__-9.5633	2.9104__3.1518	-40.4744__0	-9.0362__-9.4612	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-10.783	-11.1209	-7.4457	-7.8518	0.95508	0.95508
HMR_9042	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-4.5819__-4.7759	1.4534__1.574	-20.2131__0	-4.5127__-4.725	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-5.3851	-5.5539	-3.7184	-3.9212	0.95508	0.95508
HMR_9043	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-7.7604__-8.089	2.4617__2.666	-34.235__0	-7.6432__-8.0027	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-9.1207	-9.4066	-6.2979	-6.6414	0.95508	0.95508
HMR_9044	0.79755	-0.081	0.14496	2.0684e-18	1.4785e-19	2.8735e-28	-11.5924__-12.0833	3.6773__3.9824	-25.5699__0	-11.4173__-11.9543	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-13.6244	-14.0515	-9.4078	-9.9208	0.95508	0.95508
HMR_9045	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-2.011__-2.0961	0.63791__0.69084	-8.8715__0	-1.9806__-2.0738	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-2.3635	-2.4376	-1.632	-1.721	0.95508	0.95508
HMR_9046	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-13.7238__-14.3049	4.3534__4.7146	-60.5422__0	-13.5164__-14.1521	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-16.1293	-16.6349	-11.1375	-11.7448	0.95508	0.95508
HMR_9048	0.27509	-0.432	0.14513	0	0	0	-233.1552__-408.4813	223.008__213.0903	-500__-1000	-229.3726__-410.485	0.0063267__0.23334	2.8913__3.6802	1	0	-393.0928	-559.7498	-77.5817	-260.4533	0.55878	0.55878
HMR_9051	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-6.3962e-05__-6.667e-05	2.0289e-05__2.1973e-05	-0.00028217__0	-6.2995e-05__-6.5958e-05	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-7.5173e-05	-7.7529e-05	-5.1908e-05	-5.4739e-05	0.95508	0.95508
HMR_9055	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	6.3962e-05__6.667e-05	2.0289e-05__2.1973e-05	-1.1683e-15__0	6.2995e-05__6.5958e-05	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	5.1908e-05	5.4739e-05	7.5173e-05	7.7529e-05	0.95508	0.95508
HMR_9062	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-7.6467__-7.9705	2.4256__2.6269	-16.8667__0	-7.5312__-7.8854	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-8.9871	-9.2688	-6.2057	-6.5441	0.95508	0.95508
HMR_9063	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-11.4981__-11.985	3.6474__3.95	-50.7238__0	-11.3244__-11.857	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-13.5136	-13.9371	-9.3313	-9.8401	0.95508	0.95508
HMR_9064	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-5.8128__-6.059	1.8439__1.9969	-25.6433__0	-5.725__-5.9943	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-6.8318	-7.0459	-4.7174	-4.9747	0.95508	0.95508
HMR_9067	0.68879	-0.144	0.14496	4.2771e-97	3.5606e-96	3.0468e-53	-213.9861__-260.0746	132.0274__176.3285	-770.4336__0	-205.8604__-228.6992	-0.4556__-0.79794	3.0745__3.5343	1	4.2771e-97	-304.1598	-369.7142	-111.5062	-126.3094	0.90014	0.90014
HMR_9068	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-10.5003__-10.9449	3.3308__3.6072	-46.3218__0	-10.3416__-10.828	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-12.3408	-12.7276	-8.5215	-8.9862	0.95508	0.95508
HMR_9069	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-13.9591__-14.5501	4.428__4.7954	-61.5803__0	-13.7482__-14.3948	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-16.4059	-16.9201	-11.3284	-11.9462	0.95508	0.95508
HMR_9072	0.77513	0.1103	0.14505	4.6697e-41	3.1892e-43	1.4403e-33	530.6045__576.4025	246.756__221.3167	1000__1000	555.8043__596.5278	-0.58033__-0.47382	3.1051__2.752	1	4.6697e-41	374.0501	428.6916	721.115	751.3088	0.93173	0.93173
HMR_9074	1.0	0.9365	0.14761	0	0	0	1.4888e-11__1.2407e-08	1.6611e-10__8.3369e-09	0__0	-1.6776e-12__1.1618e-08	0.66358__0.70031	4.9321__3.8989	1	0	-7.9384e-11	6.4758e-09	1.0007e-10	1.7115e-08	-0.0001444	-0.0001444
HMR_9078	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8783e-28	30.3972__31.6843	9.64237__10.4424	-5.7049e-13__-2.3867e-12	29.9379__31.346	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	24.6687	26.014	35.7253	36.8451	0.95508	0.95508
HMR_9085	0.79755	0.0806	0.14496	2.0684e-18	1.4785e-19	2.8817e-28	0.0015771__0.0016438	0.00050027__0.00054177	0__0	0.0015532__0.0016263	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.0012799	0.0013497	0.0018535	0.0019116	0.95508	0.95508
HMR_9103	0.30844	0.3759	0.14505	0	0	0	-330.2223__-210.8638	161.2066__179.9644	-1000__-500	-330.2512__-202.608	-0.083392__-0.33349	3.2815__3.7256	1	0	-439.2632	-328.709	-220.1336	-87.2444	1.63	1.63
HMR_9107	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9108	0.80827	0.0794	0.14496	5.8533e-14	4.3761e-14	4.716e-21	-150.7003__-137.1557	129.6902__123.7885	166.6667__-997.5656	-148.3313__-128.1642	-0.35446__-1.0913	4.5893__8.3608	1	5.8533e-14	-233.6588	-212.912	-65.5545	-51.3465	1.1574	1.1574
HMR_9110	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9133	0.73965	-0.1173	0.14505	1.7139e-38	2.1189e-40	3.7338e-46	388.4185__345.096	226.2225__233.1278	0__500	404.6301__343.9586	-0.28854__-0.086595	2.6416__2.7943	1	1.7139e-38	234.6197	190.2783	557.6041	506.3132	1.1764	1.1764
HMR_9135	0.58324	0.2246	0.14496	6.5057e-163	3.9144e-167	2.1996e-147	189.1019__244.8504	129.5474__152.8995	-5.4834e-11__0	168.3916__226.3389	0.74403__0.66243	3.3321__3.119	1	6.5057e-163	85.4665	126.7121	274.3368	338.5773	0.74398	0.74398
HMR_9141	0.92275	0.0017	0.14607	0.36152	0.38427	0.49444	-298.2092__-300.6103	189.0089__201.0602	-500__-500	-279.2061__-269.6951	-0.6678__-0.7631	3.1742__3.2912	0	0.36152	-410.6349	-423.4684	-152.3253	-143.5338	1.0353	1.0353
HMR_9146	0.83149	-0.0916	0.14496	2.4981e-13	1.482e-13	1.5448e-20	109.5847__101.3905	77.503__79.2157	0__0	98.1798__84.3264	0.84853__1.0861	3.8293__4.1839	1	2.4981e-13	47.2283	38.4643	157.5357	146.2354	1.1643	1.1643
HMR_9147	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0055083__-0.0057415	0.0017473__0.0018923	-0.0243__0	-0.0054251__-0.0056802	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0064738	-0.0066767	-0.0044702	-0.004714	0.95508	0.95508
